pmid,year,title,journal,doi,official_category,secondary_domain_tags,disease_scope,source_role,evidence_tier,pdf_version,pdf_filename,sha256,physical_pages,main_read_completed_on,reading_stage,supplement_status,review_status,source_asset,main_visual_physical_pages
35792882,2022,A Cathepsin-Targeted Quenched Activity-Based Probe Facilitates Enhanced Detection of Human Tumors during Resection,Clinical Cancer Research,10.1158/1078-0432.ccr-22-1215,Precision Medicine and Imaging,molecular-imaging;basic-experiments;flow-cytometry;pharmacokinetics;clinical-feasibility;statistics,NSCLC surgical imaging with cross-species feasibility models,preclinical-to-clinical molecular imaging translation,preclinical-and-early-clinical-feasibility,author_manuscript,Kennedy_A_Cathepsin-Targeted_Quenched_Activity-Based_Probe_Facilitates_Enhanced_Detection_of_Human_Tumo_PMID35792882.pdf,9dd0a15f38f7797b878b4bdeb6d74a8ec591dd824fc254d85c7bb4beaddf6d97,28,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35792882-language.md,19;20;21;22;23;24;25;26;27;28
34740925,2022,A Novel Third-generation EGFR Tyrosine Kinase Inhibitor Abivertinib for EGFR T790M-mutant Non-Small Cell Lung Cancer: a Multicenter Phase I/II Study,Clinical Cancer Research,10.1158/1078-0432.ccr-21-2595,Clinical Trials: Targeted Therapy,targeted-therapy;EGFR-resistance;clinical-efficacy;pharmacokinetics;safety;statistics,EGFR T790M-positive advanced NSCLC,lung phase-I/II targeted-therapy clinical study,early-phase-clinical,publisher_typeset_pdf,Zhou_A_Novel_Third-generation_EGFR_Tyrosine_Kinase_Inhibitor_Abivertinib_for_EGFR_T790M-mutant_Non-Smal_PMID34740925.pdf,a8bb541bc5b03545a10fc677e01174b24935a37f07b02adced07ed12d273613c,9,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-34740925-language.md,3;4;5;6;7
34702773,2022,A Phase 0 Trial of Ceritinib in Patients with Brain Metastases and Recurrent Glioblastoma,Clinical Cancer Research,10.1158/1078-0432.ccr-21-1096,Clinical Trials: Targeted Therapy,pharmacokinetics;pharmacodynamics;targeted-therapy;brain-metastasis;IHC;negative-results,recurrent glioblastoma and non-lung brain metastases,cross-tumor phase-0 pharmacokinetic and target-engagement methods reference,early-phase-clinical,publisher_typeset_pdf,Mehta_A_Phase_0_Trial_of_Ceritinib_in_Patients_with_Brain_Metastases_and_Recurrent_Glioblastoma_PMID34702773.pdf,ce34003e9127e9a62b997e5796eb31013740451559640a728f692de90750e62f,9,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-34702773-language.md,2;5;6;7;8
35247924,2022,"A Phase I Study Investigating AZD8186, a Potent and Selective Inhibitor of PI3Kβ/δ, in Patients with Advanced Solid Tumors",Clinical Cancer Research,10.1158/1078-0432.ccr-21-3087,Clinical Trials: Targeted Therapy,targeted-therapy;PK-PD;pathology;genomics;statistics,"advanced solid tumors, predominantly mCRPC; eight lung cases",multi-arm first-in-human dose-finding PK/PD study,phase-I-nonrandomized,publisher_typeset_pdf,"Choudhury_A_Phase_I_Study_Investigating_AZD8186,_a_Potent_and_Selective_Inhibitor_of_PI3Kβ_δ,_in_Patien_PMID35247924.pdf",effadb4e6598cc58e98a9d09d350432aa5b2ff9f9a3b3b15bfd2a26639cf6917,13,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35247924-language.md,4;5;6;7;8;9
35980349,2022,A Randomized Comparison of Nivolumab versus Nivolumab + Docetaxel for Previously Treated Advanced or Recurrent ICI-Naïve Non-Small Cell Lung Cancer: TORG1630,Clinical Cancer Research,10.1158/1078-0432.ccr-22-1687,Clinical Trials: Immunotherapy,immunotherapy;chemotherapy;clinical-efficacy;safety;subgroup-analysis;statistics,previously treated ICI-naive NSCLC,lung randomized clinical immunotherapy-combination study,randomized-clinical,publisher_typeset_pdf,Taniguchi_A_Randomized_Comparison_of_Nivolumab_versus_Nivolumab_+_Docetaxel_for_Previously_Treated_Adva_PMID35980349.pdf,0da5002ecaaf3b84cdab560b78e541a63530c1bd7144b4cf86924a39451c67c8,8,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35980349-language.md,3;4;5;6
34921023,2022,A Randomized Phase II Study Comparing Nivolumab with Carboplatin-Pemetrexed for EGFR-Mutated NSCLC with Resistance to EGFR Tyrosine Kinase Inhibitors (WJOG8515L),Clinical Cancer Research,10.1158/1078-0432.ccr-21-3194,Clinical Trials: Immunotherapy,immunotherapy;EGFR-resistance;targeted-genomics;immune-gene-expression;bioinformatics;clinical-efficacy;statistics;safety,EGFR-mutated NSCLC after EGFR-TKI resistance,lung randomized clinical trial with exploratory genomic and immune-expression correlates,randomized-clinical,publisher_typeset_pdf,Hayashi_A_Randomized_Phase_II_Study_Comparing_Nivolumab_with_Carboplatin-Pemetrexed_for_EGFR-Mutated_NS_PMID34921023.pdf,e3d1465781f41693e22e0edd64a08ad0061f0535ff461605848d9c21a5f69608,10,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-34921023-language.md,3;4;5;6;7;8
35993913,2022,Activation of Adaptive and Innate Immune Cells via Localized IL2 Cytokine Factories Eradicates Mesothelioma Tumors,Clinical Cancer Research,10.1158/1078-0432.ccr-22-1493,Translational Cancer Mechanisms and Therapy,immunotherapy;single-cell-protein-cytometry;bioinformatics;drug-delivery;basic-experiments;statistics,preclinical malignant mesothelioma,local cytokine delivery and single-cell immune-phenotyping study,preclinical-mechanistic-and-safety,publisher_typeset_pdf,Nash_Activation_of_Adaptive_and_Innate_Immune_Cells_via_Localized_IL2_Cytokine_Factories_Eradicates_Mes_PMID35993913.pdf,214a6bcf28be2ab9d0098c8dade40bb2be54b933a130e00a286e23c9aa5e763f,15,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35993913-language.md,2;3;4;5;6;8;9;11;12
35404402,2022,Activity of Adagrasib (MRTX849) in Brain Metastases: Preclinical Models and Clinical Data from Patients with KRASG12C-Mutant Non-Small Cell Lung Cancer,Clinical Cancer Research,10.1158/1078-0432.ccr-22-0383,Translational Cancer Mechanisms and Therapy,genomics;STK11;KRAS;brain-metastasis;pharmacology;preclinical;targeted-therapy;statistics,KRAS-mutant NSCLC; KRAS G12C intracranial xenografts and two clinical cases,"mixed retrospective clinicogenomic, preclinical pharmacology and early clinical CNS-activity study",mixed-preclinical-clinical,publisher_typeset_pdf,Sabari_Activity_of_Adagrasib_(MRTX849)_in_Brain_Metastases_Preclinical_Models_and_Clinical_Data_from_Pa_PMID35404402.pdf,30d63593db9c201a040bbbe13d51077cc198c4017d6e105806806b3b1ab24440,11,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35404402-language.md,4;5;6;7;8;9
34740922,2022,Adding Base-Excision Repair Inhibitor TRC102 to Standard Pemetrexed-Platinum-Radiation in Patients with Advanced Nonsquamous Non-Small Cell Lung Cancer: Results of a Phase I Trial,Clinical Cancer Research,10.1158/1078-0432.ccr-21-2025,Clinical Trials: Targeted Therapy,DNA-repair;chemoradiotherapy;dose-escalation;safety;clinical-efficacy;statistics,stage III and oligometastatic stage IVA lung adenocarcinoma,single-arm phase I dose-escalation chemoradiotherapy study,early-phase-clinical,publisher_typeset_pdf,Biswas_Adding_Base-Excision_Repair_Inhibitor_TRC102_to_Standard_Pemetrexed-Platinum-Radiation_in_Patien_PMID34740922.pdf,d37ab0964b87f355a0ac6507d77c8f4d990e513508adab9cd284d5e994a4b406,7,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-34740922-language.md,3;4;5
34686497,2022,Association of PD-1/PD-L1 Co-location with Immunotherapy Outcomes in Non-Small Cell Lung Cancer,Clinical Cancer Research,10.1158/1078-0432.ccr-21-2649,Precision Medicine and Imaging,immunotherapy;spatial-protein-imaging;digital-pathology;bioinformatics;statistics,advanced NSCLC with heterogeneous immune-checkpoint regimens,retrospective spatial quantitative-immunofluorescence biomarker study,retrospective-clinical-correlative,author_manuscript,Gavrielatou_Association_of_PD-1_PD-L1_Co-location_with_Immunotherapy_Outcomes_in_Non-Small_Cell_Lung_Ca_PMID34686497.pdf,8eb5cbef2f9026bce71976f2f4a896ee8ec932819689edb0c5b299cbe6d2aa42,16,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-34686497-language.md,11;12;13;14;15;16
35275991,2022,Circulating Cell-free DNA as a Prognostic Biomarker in Patients with Advanced ALK+ Non-small Cell Lung Cancer in the Global Phase III ALEX Trial,Clinical Cancer Research,10.1158/1078-0432.ccr-21-2840,Clinical Trials: Targeted Therapy,liquid-biopsy;genomics;prognostic-biomarkers;targeted-therapy;statistics,advanced ALK-positive NSCLC,retrospective biomarker analysis nested in a randomized phase III trial,retrospective-clinical,publisher_typeset_pdf,Dziadziuszko_Circulating_Cell-free_DNA_as_a_Prognostic_Biomarker_in_Patients_with_Advanced_ALK+_Non-sma_PMID35275991.pdf,6f7d3525c07aa37200c2e2bbbff02d4dcba33348faa130f27902e7ec9d3d635b,9,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35275991-language.md,3;4;5;6;7
35713632,2022,Circulating Tumor DNA Kinetics Predict Progression-Free and Overall Survival in EGFR TKI-Treated Patients with EGFR-Mutant NSCLC (SWOG S1403),Clinical Cancer Research,10.1158/1078-0432.ccr-22-0741,Precision Medicine and Imaging,genomics;liquid-biopsy;bioinformatics;targeted-therapy;statistics,EGFR-mutant advanced NSCLC,prospective trial-embedded serial ctDNA correlative analysis,prospective-clinical-correlative,author_manuscript,Mack_Circulating_Tumor_DNA_Kinetics_Predict_Progression-Free_and_Overall_Survival_in_EGFR_TKI-Treated_P_PMID35713632.pdf,69a4e56f7aa3a1332fc42c9d1f3a3d931eb1616edeba172fb4fa5c296335cc16,19,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35713632-language.md,13;14;15;16;17;18;19
35091439,2022,Comparative Analysis and Isoform-Specific Therapeutic Vulnerabilities of KRAS Mutations in Non-Small Cell Lung Cancer,Clinical Cancer Research,10.1158/1078-0432.ccr-21-2719,Precision Medicine and Imaging,genomics;co-mutations;STK11;bulk-transcriptomics;bioinformatics;targeted-therapy;basic-experiments;statistics,KRAS-mutant nonsquamous NSCLC and lung adenocarcinoma,"allele-stratified genomics, transcriptomics and isogenic therapeutic-vulnerability analysis",retrospective-genomics-with-preclinical-mechanism,author_manuscript,Ricciuti_Comparative_Analysis_and_Isoform-Specific_Therapeutic_Vulnerabilities_of_KRAS_Mutations_in_Non_PMID35091439.pdf,24a6a0d5ddf03c7567a745ac3e72ad8ebdd7ef61ab9734dfc0016fb0c3c76ca0,22,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35091439-language.md,18;19;20;21;22
35101883,2022,"Continuation of Pembrolizumab with Additional Chemotherapy after Progression with PD-1/PD-L1 Inhibitor Monotherapy in Patients with Advanced NSCLC: A Randomized, Placebo-Controlled Phase II Study",Clinical Cancer Research,10.1158/1078-0432.ccr-21-3646,Clinical Trials: Immunotherapy,immunotherapy-resistance;chemotherapy;clinical-efficacy;safety;subgroup-analysis;statistics,EGFR/ALK-wild-type advanced NSCLC after PD-1/PD-L1 monotherapy progression,lung randomized continuation-treatment trial,randomized-clinical,publisher_typeset_pdf,Jung_Continuation_of_Pembrolizumab_with_Additional_Chemotherapy_after_Progression_with_PD-1_PD-L1_Inhib_PMID35101883.pdf,94431dadb7288e2216af17e49d736f8f28ef921d14e4107804631aed0dbba36e,8,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35101883-language.md,4;5;6;7
35394499,2022,"Distinct Immune Gene Programs Associated with Host Tumor Immunity, Neoadjuvant Chemotherapy, and Chemoimmunotherapy in Resectable NSCLC",Clinical Cancer Research,10.1158/1078-0432.ccr-21-3207,Translational Cancer Mechanisms and Therapy,targeted-transcriptomics;bioinformatics;spatial-pathology;immunotherapy;chemotherapy;statistics;STK11-context,resectable lung adenocarcinoma and squamous NSCLC,targeted bulk immune-transcriptomic and spatial pathology correlative study,retrospective-clinical-correlative,author_manuscript,"Rocha_Distinct_Immune_Gene_Programs_Associated_with_Host_Tumor_Immunity,_Neoadjuvant_Chemotherapy,_and_PMID35394499.pdf",c68cd75a11a172ecc9ff208b635477fa842c8ae1a9fa820b951d38215ade2c29,25,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35394499-language.md,17;18;19;20;21;22;23;24;25
34462287,2022,FDA Approval Summary: Nivolumab in Combination with Ipilimumab for the Treatment of Unresectable Malignant Pleural Mesothelioma,Clinical Cancer Research,10.1158/1078-0432.ccr-21-1466,CCR Drug Updates,immunotherapy;regulatory;survival;clinical-pharmacology;safety;statistics,unresectable malignant pleural mesothelioma,FDA regulatory approval and benefit-risk analysis,regulatory-analysis,author_manuscript,Nakajima_FDA_Approval_Summary_Nivolumab_in_Combination_with_Ipilimumab_for_the_Treatment_of_Unresectabl_PMID34462287.pdf,1389c725630c42e27738c02bc6b4313839a6aa259b08dbfe2a89c57366678c86,12,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-34462287-language.md,9;10;11;12
34903582,2022,FDA Approval Summary: Sotorasib for KRAS G12C-Mutated Metastatic NSCLC,Clinical Cancer Research,10.1158/1078-0432.ccr-21-3074,CCR Drug Updates,KRAS;targeted-therapy;pharmacokinetics;regulatory;safety;statistics,advanced KRAS G12C-mutated NSCLC,FDA accelerated-approval and dose-optimization regulatory analysis,regulatory-analysis,author_manuscript,Nakajima_FDA_Approval_Summary_Sotorasib_for_KRAS_G12C-Mutated_Metastatic_NSCLC_PMID34903582.pdf,7af59263218defffdc8cbe1580edbfa7819c4fedd498bffaf44569d2db765fdb,13,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-34903582-language.md,9;10;11;12;13
35699599,2022,First-In-Human Phase I Study of the OX40 Agonist MOXR0916 in Patients with Advanced Solid Tumors,Clinical Cancer Research,10.1158/1078-0432.ccr-21-4020,Clinical Trials: Immunotherapy,immunotherapy;immune-signature;flow-cytometry;PK-PD;statistics,mixed advanced solid tumors including NSCLC; responses confined to RCC,first-in-human OX40 agonist safety PK and immune-PD study,phase-I-nonrandomized,publisher_typeset_pdf,Kim_First-In-Human_Phase_I_Study_of_the_OX40_Agonist_MOXR0916_in_Patients_with_Advanced_Solid_Tumors_PMID35699599.pdf,8891562fba38c99b18b152a3adfa2d73ac21d6f3624baee13af09d4fb45d8280,12,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35699599-language.md,3;4;5;6;7;8;9
35511938,2022,First-in-Human Phase I/II ICONIC Trial of the ICOS Agonist Vopratelimab Alone and with Nivolumab: ICOS-High CD4 T-Cell Populations and Predictors of Response,Clinical Cancer Research,10.1158/1078-0432.ccr-21-4256,Clinical Trials: Immunotherapy,immunotherapy;targeted-transcriptomics;bioinformatics;flow-cytometry;statistics,advanced mixed solid tumors; NSCLC subgroup all PD-(L)1-experienced,early-phase ICOS agonist trial with exploratory transcriptomic and immune-PD biomarkers,phase-I-II-nonrandomized,publisher_typeset_pdf,Yap_First-in-Human_Phase_I_II_ICONIC_Trial_of_the_ICOS_Agonist_Vopratelimab_Alone_and_with_Nivolumab_IC_PMID35511938.pdf,d9b8db747db1a50053c2df69e7cd6f97f454ab68638ef44aa1db824c58fb6112,14,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35511938-language.md,3;6;7;8;9;10;11
35012927,2022,Health-Related Quality of Life Outcomes in Patients with Resected Epidermal Growth Factor Receptor-Mutated Non-Small Cell Lung Cancer Who Received Adjuvant Osimertinib in the Phase III ADAURA Trial,Clinical Cancer Research,10.1158/1078-0432.ccr-21-3530,Clinical Trials: Targeted Therapy,patient-reported-outcomes;adjuvant-targeted-therapy;longitudinal-statistics;missing-data;EGFR,completely resected stage IB–IIIA EGFR-mutated nonsquamous NSCLC,exploratory longitudinal patient-reported outcome analysis in a randomized phase III trial,randomized-secondary-analysis,publisher_typeset_pdf,Majem_Health-Related_Quality_of_Life_Outcomes_in_Patients_with_Resected_Epidermal_Growth_Factor_Recepto_PMID35012927.pdf,11705a62bc18aaa525753757fc47e252fc6a9281244ed327059cee2ce9442688,11,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35012927-language.md,4;5;6;7;8
35363308,2022,"Identification and Management of Pathogenic Variants in BRCA1, BRCA2, and PALB2 in a Tumor-Only Genomic Testing Program",Clinical Cancer Research,10.1158/1078-0432.ccr-21-2861,Precision Medicine and Imaging,genomics;variant-curation;germline-testing;bioinformatics;clinical-implementation;statistics,pan-cancer tumor-only sequencing cohort including NSCLC and SCLC,pan-cancer genomic variant-curation and germline-testing implementation study,retrospective-clinical,publisher_typeset_pdf,"Bychkovsky_Identification_and_Management_of_Pathogenic_Variants_in_BRCA1,_BRCA2,_and_PALB2_in_a_Tumor-O_PMID35363308.pdf",ae112f78523372075e4c7f0a08ea3793c7d275ce7f9303f6b8a6e67f0a656094,12,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35363308-language.md,4;5;6;7;8;9;10
35920742,2022,Inhibition of LSD1 with Bomedemstat Sensitizes Small Cell Lung Cancer to Immune Checkpoint Blockade and T-Cell Killing,Clinical Cancer Research,10.1158/1078-0432.ccr-22-1128,Translational Cancer Mechanisms and Therapy,epigenetics;bulk-transcriptomics;bioinformatics;immunotherapy;flow-cytometry;statistics,small cell lung cancer,preclinical epigenetic sensitization to checkpoint blockade,preclinical-mechanistic,author_manuscript,Hiatt_Inhibition_of_LSD1_with_Bomedemstat_Sensitizes_Small_Cell_Lung_Cancer_to_Immune_Checkpoint_Blocka_PMID35920742.pdf,a4fcfc3720de5f9cde43a0ada795f140b53a9d93f929d1c62ad71a3b29f4ddd3,31,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-35920742-language.md,23;25;26;28;30
36166003,2022,"Mass Cytometry Reveals Classical Monocytes, NK Cells, and ICOS+ CD4+ T Cells Associated with Pembrolizumab Efficacy in Patients with Lung Cancer",Clinical Cancer Research,10.1158/1078-0432.ccr-22-1386,Translational Cancer Mechanisms and Therapy,single-cell-protein;mass-cytometry;bioinformatics;immunotherapy;survival-analysis;biomarker-development,advanced NSCLC with secondary melanoma validation,blood immune biomarker discovery and outcome association,retrospective-clinical-correlative,author_manuscript,"Rochigneux_Mass_Cytometry_Reveals_Classical_Monocytes,_NK_Cells,_and_ICOS+_CD4+_T_Cells_Associated_with_PMID36166003.pdf",002f2b76cf9f5abd494f0e7af55afec78dd7776aca462bff6c7ba7e24b60605f,27,2026-09-26,main_text_deep_read_complete,not_supplied,not_reviewed,ccr-2022-36166003-language.md,19;20;22;24;26;27
