id,year,journal,title,title_abbreviated,pmid,doi,priority,tags,relation,value,caution,source_url,correction_url,local_registration,local_reading_stage,local_review_status,stk11_highlight,checked_on,snapshot_date
"11","2025","Clinical Cancer Research","Impact of Co-mutations and Transcriptional Signatures in Non-Small Cell Lung Cancer Patients Treated with Adagrasib in the KRYSTAL-1 Trial","no","39804166","10.1158/1078-0432.CCR-24-2310","P1","靶向治疗；NRF2；转录组","直接：STK11/KEAP1及表达签名","适合学习基因型→转录表型→adagrasib结局→模型干预的组织方式。","当前本地仅indexed；本次检索不改变阅读状态。不同KRAS抑制剂及队列不能直接合并。","https://pubmed.ncbi.nlm.nih.gov/39804166/","","registered","indexed","not_reviewed","no","2026-09-19","2026-09-19"
"12","2023","Clinical Cancer Research","ATM Mutations Associate with Distinct Co-Mutational Patterns and Therapeutic Vulnerabilities in NSCLC","no","37733794","10.1158/1078-0432.CCR-23-1122","P1","共突变；临床基因组；基础实验","次级关联：ATM–STK11","已highlight框架；KRAS分层改变ATM–STK11关系，适合总人群与分层不一致的叙事。","ATM为主暴露；其机制或治疗结果不是STK11特异验证。","https://pubmed.ncbi.nlm.nih.gov/37733794/","","registered","main_text_deep_read_complete","not_reviewed","yes","2026-09-19","2026-09-19"
"13","2023","Clinical Cancer Research","Clinicopathologic, Genomic, and Immunophenotypic Landscape of ATM Mutations in Non-Small Cell Lung Cancer","no","37097610","10.1158/1078-0432.CCR-22-3413","P1","临床基因组；免疫表型；IHC","次级关联：ATM/STK11共富集","已highlight框架；变异功能、临床分组、免疫表型与治疗结局的顺序可借鉴。","需区分基因变异、LOH、蛋白缺失；总体无差异与探索性亚组不能混写。","https://pubmed.ncbi.nlm.nih.gov/37097610/","","registered","main_text_deep_read_complete","not_reviewed","yes","2026-09-19","2026-09-19"
"14","2020","Clinical Cancer Research","The Genomic Landscape of SMARCA4 Alterations and Associations with Outcomes in Patients with Lung Cancer","no","32709715","10.1158/1078-0432.CCR-20-1825","P1","临床基因组；变异分类；共突变","次级关联：SMARCA4/STK11","已highlight框架；改变类型→蛋白→共突变→校正生存分析，是很好的临床主线。","不同于2024 SMARCA4缺失恶性肿瘤文章和2026泛癌SMARCA4文章；不要互相替代。","https://pubmed.ncbi.nlm.nih.gov/32709715/","","registered","main_text_deep_read_complete","not_reviewed","yes","2026-09-19","2026-09-19"
"15","2024","JCO Precision Oncology","Influence of TP53 Comutation on the Tumor Immune Microenvironment and Clinical Outcomes With Immune Checkpoint Inhibitors in STK11-Mutant Non-Small-Cell Lung Cancer","no","38330261","10.1200/PO.23.00371","P2","STK11人群内分层；TP53；免疫","直接：STK11/TP53","以STK11为中心按TP53再分层，与你的课题组织方式特别贴近。","不是JCO主刊；bulk免疫去卷积不是单细胞；TTF调整后P=0.054不能写为显著。","https://pubmed.ncbi.nlm.nih.gov/38330261/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"16","2020","ESMO Open","STK11 and KEAP1 mutations as prognostic biomarkers in an observational real-world lung adenocarcinoma cohort","no","32312757","10.1136/esmoopen-2020-000706","P1","预后与预测；真实世界；多治疗方式","直接：STK11/KEAP1","用于讨论预后不良与治疗特异耐药的区别，避免只纳入支持耐药的证据。","观察性研究与交互作用检验均有限制；原文有2020更正，精读时核对修订图。","https://pubmed.ncbi.nlm.nih.gov/32312757/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"17","2007","Nature","LKB1 modulates lung cancer differentiation and metastasis","no","17676035","10.1038/nature06030","P1","基础机制；分化；转移","直接：LKB1失活","LKB1肺癌生物学的经典原始研究；适合Introduction及表型验证设计。","小鼠基因工程证据；Nature旧制Letter为原始研究，不能仅按Letter字样当评论排除。","https://pubmed.ncbi.nlm.nih.gov/17676035/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"18","2019","Cancer Discovery","Suppression of STING Associated with LKB1 Loss in KRAS-Driven Lung Cancer","no","30297358","10.1158/2159-8290.CD-18-0689","P1","免疫逃逸；STING；表观遗传","直接：LKB1缺失","DNMT1/EZH2相关STING沉默与救援实验，适合机制链和因果验证写作。","2018在线、2019卷期；不将STK11任意变异等同于LKB1功能缺失。","https://pubmed.ncbi.nlm.nih.gov/30297358/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"19","2016","Cancer Research","STK11/LKB1 deficiency promotes neutrophil recruitment and proinflammatory cytokine production to suppress T cell activity in the lung tumor microenvironment","no","26833127","10.1158/0008-5472.CAN-15-1439","P1","髓系免疫；中性粒细胞；T细胞","直接：LKB1缺失","早期连接LKB1、炎症因子、中性粒细胞和T细胞抑制的机制参考。","免疫抑制机制不等于任一临床方案的疗效预测指标。","https://pubmed.ncbi.nlm.nih.gov/26833127/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"20","2021","Nature Cell Biology","LKB1 inactivation modulates chromatin accessibility to drive metastatic progression","no","34341533","10.1038/s41556-021-00728-4","P1","单细胞/染色质；CRISPR；转移","直接：LKB1失活","组学筛选→染色质改变→SOX17程序→转移验证；适合多组学与功能实验结合的主框架。","区分bulk与单细胞、原发与转移阶段；模型发现需要人类样本佐证。","https://pubmed.ncbi.nlm.nih.gov/34341533/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"21","2025","Cancer Cell","KEAP1 and STK11/LKB1 alterations enhance vulnerability to ATR inhibition in KRAS mutant non-small cell lung cancer","no","40645185","10.1016/j.ccell.2025.06.011","P1","DNA损伤/复制压力；药物脆弱性；免疫","直接：STK11/LKB1及KEAP1","基因背景→ATR/CHK1及复制压力→药物组合→HUDSON探索性临床证据，转化主线很强。","不能据此建立已前瞻验证的STK11指导ATR抑制剂用药规则。","https://pubmed.ncbi.nlm.nih.gov/40645185/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"22","2026","Cancer Discovery","LIF-Induced Tumor Plasticity Establishes an Immunosuppressive Myeloid Niche in LKB1-Mutant Lung Cancer","no","42008781","10.1158/2159-8290.CD-25-0470","P1","单细胞/单核；细胞可塑性；髓系免疫","直接：LKB1缺失","LIF→SOX17细胞状态→中性粒/巨噬细胞→抗LIF干预；最值得优先补充的新近机制文献之一。","抗LIF效应主要来自模型；不能写为STK11患者临床获益已确立。","https://pubmed.ncbi.nlm.nih.gov/42008781/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"23","2023","Journal of Thoracic Oncology","STK11/LKB1-Deficient Phenotype Rather Than Mutation Diminishes Immunotherapy Efficacy and Represents STING/Type I Interferon/CD8+ T-Cell Dysfunction in NSCLC","no","37495171","10.1016/j.jtho.2023.07.020","P1","功能缺失分类器；转录组；免疫治疗","直接：基因型与功能表型对比","ORIENT-11/OAK/POPLAR分析有助于界定为什么STK11突变标签不完全代表LKB1功能状态。","研究型分类器不等于临床常规已验证检测；作者回复/评论不另纳入。","https://pubmed.ncbi.nlm.nih.gov/37495171/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"24","2025","Journal of Thoracic Oncology","Gene Copy Deletion of STK11, KEAP1, and SMARCA4: Clinicopathologic Features and Association With the Outcomes of Immunotherapy With or Without Chemotherapy in Nonsquamous NSCLC","no","39864548","10.1016/j.jtho.2025.01.016","P1","拷贝数缺失；RNA/蛋白；免疫治疗","直接：STK11拷贝数删除","已highlight的直接STK11参考；删除/突变/双打击→表达→临床结局，可补足只研究SNV的盲点。","删除不是点突变；19p共删除及ICI单药队列异质性需保留。","https://pubmed.ncbi.nlm.nih.gov/39864548/","","registered","main_text_deep_read_complete","not_reviewed","yes","2026-09-19","2026-09-19"
"25","2025","Nature Communications","Uncovering the rewired IAP-JAK regulatory axis as an immune-dependent vulnerability of LKB1-mutant lung cancer","no","40057483","10.1038/s41467-025-57297-5","P2","蛋白互作；IAP/JAK/STING；免疫机制","直接：LKB1突变/缺失","蛋白互作、共培养、免疫完整/缺陷模型互证，适合免疫依赖性药物效应写作。","药物与遗传验证主要是临床前；不能称患者疗效确证。","https://pubmed.ncbi.nlm.nih.gov/40057483/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"26","2025","Nature Communications","LKB1 regulates JNK-dependent stress signaling and apoptotic dependency of KRAS-mutant lung cancers","no","40316540","10.1038/s41467-025-58753-y","P2","KRAS/MEK治疗；凋亡；JNK/MCL1","直接：LKB1调控药物依赖","展示治疗诱导的应激/凋亡依赖如何受LKB1影响，适合联合靶向治疗假说。","依赖具有治疗条件和模型背景，不是所有STK11肿瘤的恒定弱点。","https://pubmed.ncbi.nlm.nih.gov/40316540/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"27","2025","Cancer Research","TNG260 Is a Small-Molecule CoREST Inhibitor That Sensitizes STK11-Mutant Tumors to Anti-PD-1 Immunotherapy","no","40882030","10.1158/0008-5472.CAN-25-0998","P2","表观遗传；CoREST；联合免疫治疗","直接：STK11突变","从体内CRISPR/HDAC1发现到CoREST抑制及患者活检药效学，适合药物开发叙事。","患者活检的组蛋白乙酰化、PD-L1和T细胞变化不等于确定的缓解/生存获益。","https://pubmed.ncbi.nlm.nih.gov/40882030/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"28","2017","Nature","CPS1 maintains pyrimidine pools and DNA synthesis in KRAS/LKB1-mutant lung cancer cells","no","","10.1038/nature22359","P1","代谢；氮利用；嘧啶合成","直接：KRAS/LKB1","代谢追踪、基因干预与代谢救援是建立因果链的好范例。","代谢依赖来自模型；不能直接转为临床有效治疗结论。","https://www.nature.com/articles/nature22359","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"29","2020","Cell Reports","Concurrent Mutations in STK11 and KEAP1 Promote Ferroptosis Protection and SCD1 Dependence in Lung Cancer","no","33264619","10.1016/j.celrep.2020.108444","P2","双突变；铁死亡；脂质代谢","直接：STK11/KEAP1双改变","单改变/双改变/野生型对照与SCD1遗传药理互证，适合真正的共突变实验设计。","临床结局关联与实验性依赖分开表述；不将共现本身当作协同机制。","https://pubmed.ncbi.nlm.nih.gov/33264619/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"30","2023","Cancer Discovery","LKB1-Dependent Regulation of TPI1 Creates a Divergent Metabolic Liability between Human and Mouse Lung Adenocarcinoma","no","36715544","10.1158/2159-8290.CD-22-0805","P2","代谢；磷酸化；跨物种差异","直接：LKB1/TPI1","人鼠TPI1位点差异提示模型外推风险；适合研究局限与验证模型选择。","存在KRAS/TP53/STK11背景与物种依赖，不可将小鼠效应直接移植到患者。","https://pubmed.ncbi.nlm.nih.gov/36715544/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"31","2023","Annals of Oncology","Machine learning-based immune phenotypes correlate with STK11/KEAP1 co-mutations and prognosis in resectable NSCLC: a sub-study of the TNM-I trial","no","37100205","10.1016/j.annonc.2023.04.005","P1","空间免疫病理；机器学习；基因组","直接关联：STK11/KEAP1","CD8空间免疫表型、靶向DNA及表达面板结合，适合空间组织结构与临床结局分析。","是空间IHC/数字病理，不是空间转录组；总体预后结果不等于LUAD或STK11专属结论。","https://pubmed.ncbi.nlm.nih.gov/37100205/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"32","2025","Cancer Cell","Integrative analysis of lung adenocarcinoma across diverse ethnicities and exposures","no","40749670","10.1016/j.ccell.2025.07.011","P1","蛋白基因组；人群/暴露；分子亚型","次级组学分析：STK11","跨人群蛋白基因组整合可用于考察突变背景、蛋白通路与免疫表型。","不是STK11专属队列；亚型内STK11/CD47等关联不等于临床靶向验证。","https://pubmed.ncbi.nlm.nih.gov/40749670/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"33","2024","Nature Medicine","Neoantigen immunogenicity landscapes and evolution of tumor ecosystems during immunotherapy with nivolumab","no","39349627","10.1038/s41591-024-03240-y","P2","纵向DNA/RNA；新抗原；免疫治疗","次级分析：STK11与未应答富集","CheckMate 153动态取样与新抗原/T细胞验证，适合治疗前后纵向研究框架。","STK11不是全文主暴露；不能把整个免疫机制结论归因于STK11。","https://pubmed.ncbi.nlm.nih.gov/39349627/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"34","2026","Nature Communications","Cancer cachexia in STK11/LKB1-mutated non-small cell lung cancer is dependent on tumor-secreted GDF15","no","41617691","10.1038/s41467-026-68702-y","P2","恶病质；整合应激；GDF15","直接：STK11/LKB1","将肿瘤基因型连接宿主全身表型；临床表型与中和/恢复实验可补充STK11叙事。","不同于免疫疗效终点；2024预印本与2026正式版是同一研究，不重复计数。","https://pubmed.ncbi.nlm.nih.gov/41617691/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"35","2026","Cancer Immunology Research","Tumor-Derived Complement C3 Overexpression in STK11-Mutant Lung Adenocarcinoma Drives Tumor Growth and Immune Checkpoint Inhibitor Resistance","no","42048614","10.1158/2326-6066.CIR-25-0534","P2","补体；肿瘤/宿主来源；免疫耐药","直接：STK11突变","肿瘤源与宿主源C3分离、CD8耗竭和PD-1阻断实验，适合机制因果对照。","以临床前机制为主；专科重要原始研究，不与Nature/Cell等同一个期刊层级。","https://pubmed.ncbi.nlm.nih.gov/42048614/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"36","2022","Journal for ImmunoTherapy of Cancer","Clinical efficacy of atezolizumab plus bevacizumab and chemotherapy in KRAS-mutated non-small cell lung cancer with STK11, KEAP1, or TP53 comutations: subgroup results …","yes","35190375","10.1136/jitc-2021-003027","P1","随机试验亚组；抗血管；免疫化疗","直接：KRAS/STK11/KEAP1/TP53","ABCP/ACP/BCP比较能补充不同治疗组合下的共突变结局。","探索性亚组；比较组不同，不能独立归因某个药物或证明已验证预测标志物。","https://pubmed.ncbi.nlm.nih.gov/35190375/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"37","2023","JTO Clinical and Research Reports","Associations of Tissue Tumor Mutational Burden and Mutational Status With Clinical Outcomes With Pembrolizumab Plus Chemotherapy Versus Chemotherapy For Metastatic NSCLC","no","36793385","10.1016/j.jtocrr.2022.100431","P1","随机试验亚组；KEYNOTE-189/407；免疫化疗","直接探索性分析：STK11","作为不能仅凭STK11状态排除免疫化疗获益的对照性证据。","不是JTO主刊；2022在线、2023卷期；2025更正修订了补充图9两组柱状图标签，引用时应使用修订补充材料。","https://pubmed.ncbi.nlm.nih.gov/36793385/","https://www.sciencedirect.com/science/article/pii/S2666364325001109","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"38","2021","New England Journal of Medicine","Sotorasib for Lung Cancers with KRAS p.G12C Mutation","no","34096690","10.1056/NEJMoa2103695","P1","KRAS G12C抑制剂；临床试验","直接探索性亚组：STK11/KEAP1","提示携带STK11改变不等于对KRAS G12C抑制剂完全无应答。","单臂试验中的分子亚组不能确证预测作用，须结合随机试验和其他共改变。","https://pubmed.ncbi.nlm.nih.gov/34096690/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"39","2020","Cell","Proteogenomic Characterization Reveals Therapeutic Vulnerabilities in Lung Adenocarcinoma","no","32649874","10.1016/j.cell.2020.06.013","P1","蛋白基因组；磷酸化/乙酰化；免疫","直接次级组学分析：STK11","CPTAC多层组学将STK11基因状态、免疫冷表型及蛋白功能变化连接，适合多组学主框架。","观察性组学发现不能独立证明机制因果；不能称STK11专门临床试验。","https://pubmed.ncbi.nlm.nih.gov/32649874/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"40","2021","Nature Cancer","Proteogenomics of non-small cell lung cancer reveals molecular subtypes associated with specific therapeutic targets and immune-evasion mechanisms","no","34870237","10.1038/s43018-021-00259-9","P1","蛋白基因组；分型；免疫逃逸","直接次级组学分析：STK11","STK11相关HNF1A/FGL1等蛋白通路可扩展DNA→RNA→蛋白→免疫逃逸分析。","组学分型/通路关联不等于LAG3或其他靶向药临床获益已验证。","https://pubmed.ncbi.nlm.nih.gov/34870237/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"41","2025","Cancer Research","SCD1 Inhibition Blocks the AKT-NRF2-SLC7A11 Pathway to Induce Lipid Metabolism Remodeling and Ferroptosis Priming in Lung Adenocarcinoma","no","40198901","10.1158/0008-5472.CAN-24-2745","P2","脂质组；铁死亡；SCD1/SLC7A11","直接背景分析：STK11/KEAP1","与2020 Cell Reports相互补充；用脂质组、信号通路和联合干预建立药物敏感性机制。","不将KRAS LUAD总体结果都定义成STK11特异效应。","https://pubmed.ncbi.nlm.nih.gov/40198901/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"42","2021","Clinical Cancer Research","STK11/LKB1 Mutations in NSCLC Are Associated with KEAP1/NRF2-Dependent Radiotherapy Resistance Targetable by Glutaminase Inhibition","no","33323404","10.1158/1078-0432.CCR-20-2859","P1","放疗；氧化还原；谷氨酰胺酶","直接：STK11/LKB1","临床局部控制与同基因背景放疗实验连接，补齐非免疫治疗场景。","放疗相关性与模型增敏分开；未证明患者接受谷氨酰胺酶抑制剂即可获益。","https://pubmed.ncbi.nlm.nih.gov/33323404/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"43","2023","Annals of Oncology","Associations of tissue tumor mutational burden and mutational status with clinical outcomes in KEYNOTE-042: pembrolizumab versus chemotherapy for advanced PD-L1-positive NSCLC","no","36709038","10.1016/j.annonc.2023.01.011","P1","随机试验亚组；PD-L1阳性；免疫单药","直接探索性亚组：STK11","重要的反向/边界证据：PD-L1阳性入组人群中，STK11突变亚组仍可观察到pembrolizumab相对化疗获益。","亚组小、探索性；不能比较两亚组HR大小就宣称STK11预测更好疗效。","https://pubmed.ncbi.nlm.nih.gov/36709038/","","candidate_only_not_in_checked_four_journal_bibliographies","not_assessed","not_assessed","no","2026-09-19","2026-09-19"
"44","2021","Clinical Cancer Research","NRF2 Activation Promotes Aggressive Lung Cancer and Associates with Poor Clinical Outcomes","no","33077574","10.1158/1078-0432.CCR-20-1985","P1","NRF2功能状态；表达签名；模型/临床","直接背景：KRAS/STK11/NRF2","基因工程模型与人类NRF2表达签名相衔接，有助于避免仅凭KEAP1基因型解释STK11共改变。","2020在线、2021卷期；NRF2激活不等于KEAP1突变，临床关联并不自动具有预测作用。","https://pubmed.ncbi.nlm.nih.gov/33077574/","","registered","main_text_deep_read_complete","not_reviewed","no","2026-09-19","2026-09-19"

