year,journal,title,pmid,doi,publication_status,supplied_pdf_version,eligibility,disease_scope,source_role,official_category,official_category_status,primary_content_class,secondary_content_tags,tag_basis,reading_stage,main_read_completed_on,review_status,supplement_status,stk11_highlight,bibliography,reading_ledger,reading_evidence,source_disease_ids,source_tissue_ids,source_model_ids,source_use_roles,scope_curation_status,scope_reference,scope_reference_line,scope_boundary,scope_facet_status
2021,Clinical Cancer Research,Outcome and Immune Correlates of a Phase II Trial of High-Dose Interleukin-2 and Stereotactic Ablative Radiotherapy for Metastatic Renal Cell Carcinoma,34551906,10.1158/1078-0432.ccr-21-2083,see source bibliography and intake manifest,author_manuscript,included,metastatic clear-cell renal cell carcinoma,cross-tumor clinical/multi-omics methodology reference,Clinical Trials: Immunotherapy,official_section,cross-tumor clinical/multi-omics methodology reference,genomics;bulk-transcriptomics;proteomics;TCR-sequencing;mass-cytometry;bioinformatics;immunotherapy;radiotherapy;statistics,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2021-34551906-language.md;ccr-2021-34551906-evidence.md,renal-cell-carcinoma,tumor;blood,human-clinical,cross-tumor-methods,curated-source-scope,ccr-2021-34551906-evidence.md,7,"RCC, not primary lung cancer. Primary ORR target failed. Abstract/body OS and proteomic caption/body scope conflict; GEE P=.051 is nonsignificant. Small separate omics subsets do not validate biomarkers.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2021,Clinical Cancer Research,"Phase I Study of 2- or 3-Week Dosing of Telisotuzumab Vedotin, an Antibody-Drug Conjugate Targeting c-Met, Monotherapy in Patients with Advanced Non-Small Cell Lung Carcinoma",34426443,10.1158/1078-0432.ccr-21-0765,see source bibliography and intake manifest,publisher_typeset_pdf,included,advanced c-Met-expressing NSCLC,lung phase-I ADC dose-finding clinical study,Clinical Trials: Targeted Therapy,official_section,lung phase-I ADC dose-finding clinical study,targeted-therapy;ADC;IHC-biomarkers;pharmacokinetics;clinical-efficacy;safety;statistics,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2021-34426443-language.md;ccr-2021-34426443-evidence.md,nsclc,tumor;blood,human-clinical,lung-primary,curated-source-scope,ccr-2021-34426443-evidence.md,7,Schedules were not randomized; response and exposure-model predictions are distinct. c-Met IHC overexpression is not MET mutation or oncogene addiction. PFS intervals and AE/baseline percentages contain source inconsistencies.,"{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2021,Clinical Cancer Research,Pretreatment Tissue TCR Repertoire Evenness Is Associated with Complete Pathologic Response in Patients with NSCLC Receiving Neoadjuvant Chemoimmunotherapy,34376534,10.1158/1078-0432.ccr-21-1200,see source bibliography and intake manifest,publisher_typeset_pdf,included,resectable stage-IIIA NSCLC,neoadjuvant clinical-correlative TCR biomarker discovery,Precision Medicine and Imaging,official_section,neoadjuvant clinical-correlative TCR biomarker discovery,TCR-sequencing;targeted-transcriptomics;spatial-protein-imaging;bioinformatics;chemoimmunotherapy;pathologic-response;statistics,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2021-34376534-language.md;ccr-2021-34376534-evidence.md,nsclc,tumor;blood;lymph-node,human-clinical,lung-primary,curated-source-scope,ccr-2021-34376534-evidence.md,7,AUC is apparent performance in19patients; comparator AUCs use different sets and there is no externalvalidation. PFS/OS and several nominal clonal/CD3 findings fail significance or multiplicity thresholds. Targeted expression/mIF is not scRNA/spatial transcriptomics.,"{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2021,Clinical Cancer Research,RELAY Subgroup Analyses by EGFR Ex19del and Ex21L858R Mutations for Ramucirumab Plus Erlotinib in Metastatic Non-Small Cell Lung Cancer,34301751,10.1158/1078-0432.ccr-21-0273,see source bibliography and intake manifest,publisher_typeset_pdf,included,EGFR-mutated metastatic NSCLC without baseline CNS metastases,randomized-trial mutation subgroup and exploratory plasma-genomics analysis,Clinical Trials: Targeted Therapy,official_section,randomized-trial mutation subgroup and exploratory plasma-genomics analysis,genomics;ctDNA;comutations;targeted-therapy;antiangiogenic-therapy;clinical-efficacy;statistics,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2021-34301751-language.md;ccr-2021-34301751-evidence.md,nsclc,tumor;blood,human-clinical,lung-primary,curated-source-scope,ccr-2021-34301751-evidence.md,7,Prespecified subgroups were not powered; immature OS and null subgroup endpoints remain visible. Plasma NGS baseline denominators conflict between body and Figure2A. TP53 association is not validated treatment prediction.,"{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2021,Clinical Cancer Research,Response to Standard Therapies and Comprehensive Genomic Analysis for Patients with Lung Adenocarcinoma with EGFR Exon 20 Insertions,33685865,10.1158/1078-0432.CCR-20-4650,see source bibliography and intake manifest,author_manuscript,included,EGFR exon 20 insertion lung adenocarcinoma,lung-clinical-genomic-treatment-outcomes,Translational Cancer Mechanisms and Therapy,official_section,retrospective clinicogenomic treatment-outcomes study,EGFR-exon20;genomics;TMB;PD-L1;immunotherapy;platinum;TTD;historical-cohort,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2021-33685865-language.md,lung-adenocarcinoma,tumor,human-clinical,lung-primary;clinical-correlative,curated-source-scope,ccr-2021-33685865-language.md,4,"Article-level source context only; listed facets are supported but not exhaustive. Data reanalysis is not new specimen collection. Do not join different cohorts, tissues or models into one experiment. Empty tissue labels mean not curated, not no specimen use.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2021,Clinical Cancer Research,Spatial Mapping and Immunomodulatory Role of the OX40/OX40L Pathway in Human Non-Small Cell Lung Cancer,34518312,10.1158/1078-0432.ccr-21-0987,see source bibliography and intake manifest,author_manuscript,included,NSCLC;uterine/ovarian serous carcinoma;separate HNSCC/ovarian/prostate pharmacodynamic cases,lung spatial-pathology prognostic study with cross-tumor pharmacodynamic proof of concept,Precision Medicine and Imaging,official_section,lung spatial-pathology prognostic study with cross-tumor pharmacodynamic proof of concept,spatial-protein-imaging;immune-microenvironment;clinical-prognosis;mRNA-delivery;experimental-assay;statistics,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2021-34518312-language.md;ccr-2021-34518312-evidence.md,nsclc;ovarian-cancer;endometrial-cancer;head-and-neck-cancer;prostate-cancer,tumor,human-clinical;human-cell-line,lung-primary;cross-tumor-methods,curated-source-scope,ccr-2021-34518312-evidence.md,7,"NSCLC prognosis is not response prediction; injected cases were notNSCLC. QIF is spatial protein imaging, not spatialRNA. Image fields are not independent patients. Serous OX40L survival P=.0506 conflicts with prose/CI.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2021,Clinical Cancer Research,Spectrum of Mechanisms of Resistance to Crizotinib and Lorlatinib in ROS1 Fusion-Positive Lung Cancer,33685866,10.1158/1078-0432.CCR-21-0032,see source bibliography and intake manifest,author_manuscript,included,ROS1 fusion-positive NSCLC,lung-clinical-preclinical-resistance,Translational Cancer Mechanisms and Therapy,official_section,clinical resistance cohort with functional preclinical validation,ROS1;crizotinib;lorlatinib;resistance;G2032R;L2086F;plasma;tissue;BaF3;cabozantinib,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2021-33685866-language.md,nsclc,tumor;plasma,human-clinical;mouse-cell-line;computational,lung-primary;clinical-correlative;preclinical-mechanism,curated-source-scope,ccr-2021-33685866-language.md,4,"Article-level source context only; listed facets are supported but not exhaustive. Data reanalysis is not new specimen collection. Do not join different cohorts, tissues or models into one experiment. Empty tissue labels mean not curated, not no specimen use.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2021,Clinical Cancer Research,STK11/LKB1 Mutations in NSCLC Are Associated with KEAP1/NRF2-Dependent Radiotherapy Resistance Targetable by Glutaminase Inhibition,33323404,10.1158/1078-0432.CCR-20-2859,see source bibliography and intake manifest,author_manuscript,included,stage-I-III-NSCLC;stage-III-clinical-analysis;lung-cancer-models,lung-clinical-preclinical-radiotherapy-mechanism,Translational Cancer Mechanisms and Therapy,official_section,retrospective clinicogenomic radiotherapy cohort and mechanistic preclinical study,STK11;LKB1;KEAP1;NRF2;clinicogenomics;radiotherapy;competing-risks;Cox;isogenic-models;clonogenic-survival;redox;glutaminase;CB-839;xenografts,bibliography content classification,main_text_deep_read_complete,2026-09-24,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2021-33323404-language.md,nsclc,tumor,human-clinical;human-cell-line;mouse,lung-primary;preclinical-mechanism;clinical-correlative,curated-source-scope,ccr-2021-33323404-language.md,4,"Article-level source context only; listed facets are supported but not exhaustive. Data reanalysis is not new specimen collection. Do not join different cohorts, tissues or models into one experiment. Empty tissue labels mean not curated, not no specimen use.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2021,Clinical Cancer Research,Transcriptional Subtypes Resolve Tumor Heterogeneity and Identify Vulnerabilities to MEK Inhibition in Lung Adenocarcinoma,33023953,10.1158/1078-0432.CCR-20-1835,see source bibliography and intake manifest,publisher_typeset_pdf,included,lung adenocarcinoma;cell-line and PDX models,lung-translational-transcriptomic-multimodel,Translational Cancer Mechanisms and Therapy,official_section,integrative transcriptomic and multimodel translational study,lung-adenocarcinoma;NMF;transcriptional-subtypes;STK11;KEAP1;MEK;cobimetinib;cell-lines;PDX;drug-screen,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2021-33023953-language.md,lung-adenocarcinoma,tumor,human-clinical;human-cell-line;pdx;gemm;computational,lung-primary;preclinical-mechanism,curated-source-scope,ccr-2021-33023953-language.md,4,"Article-level source context only; listed facets are supported but not exhaustive. Data reanalysis is not new specimen collection. Do not join different cohorts, tissues or models into one experiment. Empty tissue labels mean not curated, not no specimen use.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
2021,Clinical Cancer Research,Treatment Outcomes and Clinical Characteristics of Patients with KRAS-G12C Mutant Non-Small Cell Lung Cancer,33558425,10.1158/1078-0432.CCR-20-4023,see source bibliography and intake manifest,author_manuscript,included,advanced KRAS-mutant NSCLC,lung-clinical-genomic-treatment-outcomes,Precision Medicine and Imaging,official_section,retrospective clinicogenomic treatment-outcomes study,KRAS-G12C;STK11;KEAP1;TP53;PD-L1;TMB;immunotherapy;platinum;PFS;TTD,bibliography content classification,main_text_deep_read_complete,2026-09-26,not_reviewed,not_supplied,no,ccr-corpus-bibliography.csv,ccr-deep-reading-ledger.md,ccr-deep-reading-ledger.md;ccr-2021-33558425-language.md,nsclc,tumor,human-clinical,lung-primary;clinical-correlative,curated-source-scope,ccr-2021-33558425-language.md,4,"Article-level source context only; listed facets are supported but not exhaustive. Data reanalysis is not new specimen collection. Do not join different cohorts, tissues or models into one experiment. Empty tissue labels mean not curated, not no specimen use.","{""disease_ids"": ""identified-not-exhaustive"", ""model_ids"": ""identified-not-exhaustive"", ""tissue_ids"": ""identified-not-exhaustive"", ""use_roles"": ""identified-not-exhaustive""}"
