"entry_id","catalog_version","expression","primary_section","secondary_sections","function","domain","unit_type","evidence_tier","source_set","source_article_ids","provenance_granularity","source_asset","source_container","source_heading","source_line","reuse_status"
"CCRLANG-0017","2026-09-26","durable clinical benefit","introduction","abstract;methods;results;discussion;conclusion","terminology","clinical-oncology","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Clinical oncology and treatment setting","113","conventional-term-or-collocation"
"CCRLANG-0018","2026-09-26","screening attrition","introduction","abstract;methods;results;discussion;conclusion","terminology","clinical-oncology","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Clinical oncology and treatment setting","114","conventional-term-or-collocation"
"CCRLANG-0019","2026-09-26","manufacturing feasibility","introduction","abstract;methods;results;discussion;conclusion","terminology","clinical-oncology","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Clinical oncology and treatment setting","115","conventional-term-or-collocation"
"CCRLANG-0020","2026-09-26","treatment access and reimbursement constraints","introduction","abstract;methods;results;discussion;conclusion","terminology","clinical-oncology","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Clinical oncology and treatment setting","116","conventional-term-or-collocation"
"CCRLANG-0021","2026-09-26","PD-(L)1 blockade","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","120","conventional-term-or-collocation"
"CCRLANG-0022","2026-09-26","dual-checkpoint blockade","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","120","conventional-term-or-collocation"
"CCRLANG-0023","2026-09-26","TIM-3 co-inhibitory pathway","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","121","conventional-term-or-collocation"
"CCRLANG-0024","2026-09-26","target occupancy","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","122","conventional-term-or-collocation"
"CCRLANG-0025","2026-09-26","unoccupied target availability","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","122","conventional-term-or-collocation"
"CCRLANG-0026","2026-09-26","immune-related adverse event","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","123","conventional-term-or-collocation"
"CCRLANG-0027","2026-09-26","immune-mediated toxicity","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","124","conventional-term-or-collocation"
"CCRLANG-0028","2026-09-26","T-cell reinvigoration","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","125","conventional-term-or-collocation"
"CCRLANG-0029","2026-09-26","checkpoint-expressing dysfunctional state","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","126","conventional-term-or-collocation"
"CCRLANG-0030","2026-09-26","tissue-resident cytotoxic phenotype","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","127","conventional-term-or-collocation"
"CCRLANG-0031","2026-09-26","effector-memory","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","128","conventional-term-or-collocation"
"CCRLANG-0032","2026-09-26","central-memory","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","128","conventional-term-or-collocation"
"CCRLANG-0033","2026-09-26","TEMRA phenotype","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","128","conventional-term-or-collocation"
"CCRLANG-0034","2026-09-26","partially exhausted T cell","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","129","conventional-term-or-collocation"
"CCRLANG-0035","2026-09-26","tumor-infiltrating lymphocyte abundance","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","130","conventional-term-or-collocation"
"CCRLANG-0036","2026-09-26","M1-like macrophage polarization","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","131","conventional-term-or-collocation"
"CCRLANG-0037","2026-09-26","contraction of M2-like tumor-associated macrophages","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","132","conventional-term-or-collocation"
"CCRLANG-0038","2026-09-26","inflamed tumor microenvironment","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","133","conventional-term-or-collocation"
"CCRLANG-0039","2026-09-26","immunosuppressive immune contexture","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","134","conventional-term-or-collocation"
"CCRLANG-0040","2026-09-26","immune-cell redistribution between blood and tumor","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","135","conventional-term-or-collocation"
"CCRLANG-0041","2026-09-26","tumor-specific adaptive immunity","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","136","conventional-term-or-collocation"
"CCRLANG-0042","2026-09-26","immunogenic cell death","introduction","abstract;methods;results;discussion","terminology","immunotherapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39545922;39576208;39786430;39821070;40208070;40247431;40343815;40499141;40552922;40553459;40788282;40828417;40864503;40928991;41026583;41065506","batch-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Immunotherapy and immune-state language","137","conventional-term-or-collocation"
"CCRLANG-0043","2026-09-26","leukapheresis-to-infusion pathway","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","141","conventional-term-or-collocation"
"CCRLANG-0044","2026-09-26","HLA and tumor-antigen screening","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","142","conventional-term-or-collocation"
"CCRLANG-0045","2026-09-26","eligible-to-treated attrition","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","143","conventional-term-or-collocation"
"CCRLANG-0046","2026-09-26","manufacturing failure","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","144","conventional-term-or-collocation"
"CCRLANG-0047","2026-09-26","out-of-specification product","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","144","conventional-term-or-collocation"
"CCRLANG-0048","2026-09-26","transduction efficiency","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","145","conventional-term-or-collocation"
"CCRLANG-0049","2026-09-26","CAR-positive viable cell dose","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","146","conventional-term-or-collocation"
"CCRLANG-0050","2026-09-26","second-generation","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","147","conventional-term-or-collocation"
"CCRLANG-0051","2026-09-26","third-generation CAR construct","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","147","conventional-term-or-collocation"
"CCRLANG-0052","2026-09-26","costimulatory domain","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","148","conventional-term-or-collocation"
"CCRLANG-0053","2026-09-26","dominant-negative TGF-beta receptor","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","149","conventional-term-or-collocation"
"CCRLANG-0054","2026-09-26","self-cleaving T2A peptide","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","150","conventional-term-or-collocation"
"CCRLANG-0055","2026-09-26","effector-to-target ratio","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","151","conventional-term-or-collocation"
"CCRLANG-0056","2026-09-26","antigen-dependent activation","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","152","conventional-term-or-collocation"
"CCRLANG-0057","2026-09-26","CAR-independent natural cytotoxicity","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","153","conventional-term-or-collocation"
"CCRLANG-0058","2026-09-26","target-antigen density","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","154","conventional-term-or-collocation"
"CCRLANG-0059","2026-09-26","target-antigen loss","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","155","conventional-term-or-collocation"
"CCRLANG-0060","2026-09-26","on-target/off-tumor reactivity","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","156","conventional-term-or-collocation"
"CCRLANG-0061","2026-09-26","in vivo expansion and persistence","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","157","conventional-term-or-collocation"
"CCRLANG-0062","2026-09-26","tumor trafficking and infiltration","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","158","conventional-term-or-collocation"
"CCRLANG-0063","2026-09-26","anti-CAR immune response","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","159","conventional-term-or-collocation"
"CCRLANG-0064","2026-09-26","xenogeneic graft-versus-host disease","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","160","conventional-term-or-collocation"
"CCRLANG-0065","2026-09-26","off-the-shelf potential","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","161","conventional-term-or-collocation"
"CCRLANG-0066","2026-09-26","NK-tailored signaling architecture","methods","introduction;results;discussion","terminology","cellular-therapy","vocabulary","mixed","ccr-2025-immunotherapy-17","39466024;39576208;40828417;41026583","subsection-synthesis","ccr-2025-immunotherapy-fulltext-language.md","Vocabulary and collocation bank","Cellular therapy, engineering, and manufacturing","162","conventional-term-or-collocation"
