entry_id,journal,publication_year,source_article_ids,primary_section,secondary_sections,function,domain,unit_type,evidence_tier,expression,usage_constraint,source_locator,provenance_granularity,source_asset,source_line,catalog_version
"NAT-STK11-017","Nature","2024","39385035","Methods","","screening and mediator perturbation","CRISPR;Tuba_seq;immune_depletion","vocabulary","mouse_intervention","pooled genetic screen 混合遗传筛选; inert control guide 惰性对照向导; nested tumor sampling 嵌套肿瘤采样; depletion efficiency 清除效率","不得把Tuba-seq肿瘤数当独立小鼠；源文疗程/排除标准冲突不得照抄。","pp13–16 Methods; Figs3–4","single-paper-synthesis","nature-2026-09-19-stk11-language.md","151","2026-09-19"
"NAT-STK11-018","Nature","2024","39385035","Methods","","screening and mediator perturbation","CRISPR;Tuba_seq;immune_depletion","collocation","mouse_intervention","quantify guide enrichment relative to [control]; account for tumors nested within mice; verify depletion before interpreting efficacy","不得把Tuba-seq肿瘤数当独立小鼠；源文疗程/排除标准冲突不得照抄。","pp13–16 Methods; Figs3–4","single-paper-synthesis","nature-2026-09-19-stk11-language.md","152","2026-09-19"
"NAT-STK11-019","Nature","2024","39385035","Methods","","screening and mediator perturbation","CRISPR;Tuba_seq;immune_depletion","sentence_frame","mouse_intervention","[Candidate genes] were tested by [screen], followed by genotype-controlled treatment and immune-cell perturbation experiments.","不得把Tuba-seq肿瘤数当独立小鼠；源文疗程/排除标准冲突不得照抄。","pp13–16 Methods; Figs3–4","single-paper-synthesis","nature-2026-09-19-stk11-language.md","153","2026-09-19"
"NAT-STK11-020","Nature","2024","39385035","Methods","","screening and mediator perturbation","CRISPR;Tuba_seq;immune_depletion","paragraph_architecture","mouse_intervention","Screen controls and readout → follow-up model → intervention/depletion check → response endpoint → mediation limits.","不得把Tuba-seq肿瘤数当独立小鼠；源文疗程/排除标准冲突不得照抄。","pp13–16 Methods; Figs3–4","single-paper-synthesis","nature-2026-09-19-stk11-language.md","154","2026-09-19"
"NAT-STK11-021","Nature","2024","39385035","Results","","clinical efficacy and uncertainty","immunotherapy;statistics","vocabulary","exploratory_randomized_trial","numerically favorable estimate 数值上有利的估计; null-crossing interval 跨无效值区间; responder-conditional duration 缓解者条件下持续时间","union TDCT/DCT OS .64(.40–1.04)不能写显著优效；DCT/CT HR1不证明等效。","Fig1–2; ED1–4; ED11","single-paper-synthesis","nature-2026-09-19-stk11-language.md","162","2026-09-19"
"NAT-STK11-022","Nature","2024","39385035","Results","","clinical efficacy and uncertainty","immunotherapy;statistics","collocation","exploratory_randomized_trial","favor [regimen] numerically; retain uncertainty around the direct comparison; show no evidence of equivalence","union TDCT/DCT OS .64(.40–1.04)不能写显著优效；DCT/CT HR1不证明等效。","Fig1–2; ED1–4; ED11","single-paper-synthesis","nature-2026-09-19-stk11-language.md","163","2026-09-19"
"NAT-STK11-023","Nature","2024","39385035","Results","","clinical efficacy and uncertainty","immunotherapy;statistics","sentence_frame","exploratory_randomized_trial","[Regimen A] had a numerically favorable [endpoint] estimate versus [regimen B] (HR [value], 95% CI [lower–upper]), but the interval included 1.","union TDCT/DCT OS .64(.40–1.04)不能写显著优效；DCT/CT HR1不证明等效。","Fig1–2; ED1–4; ED11","single-paper-synthesis","nature-2026-09-19-stk11-language.md","164","2026-09-19"
"NAT-STK11-024","Nature","2024","39385035","Results","","clinical efficacy and uncertainty","immunotherapy;statistics","paragraph_architecture","exploratory_randomized_trial","Define genotype/analysis set → named regimen contrast → effect/uncertainty → distinguish CT and DCT comparisons → exploratory limitation.","union TDCT/DCT OS .64(.40–1.04)不能写显著优效；DCT/CT HR1不证明等效。","Fig1–2; ED1–4; ED11","single-paper-synthesis","nature-2026-09-19-stk11-language.md","165","2026-09-19"
"NAT-STK11-025","Nature","2024","39385035","Results","","immune composition and necessity","immune_phenotype;basic_experiments","vocabulary","mouse_intervention+human_observational","relative sparing 相对保留; myeloid enrichment 髓系富集; effector-memory CD4 cells 效应记忆CD4细胞; iNOS-expressing cells 表达iNOS的细胞","比例增加不等于绝对增殖；Treg未被清除；小鼠无肿瘤长出不是临床治愈；保留未显著比较。","Fig4; ED6–10","single-paper-synthesis","nature-2026-09-19-stk11-language.md","173","2026-09-19"
"NAT-STK11-026","Nature","2024","39385035","Results","","immune composition and necessity","immune_phenotype;basic_experiments","collocation","mouse_intervention+human_observational","increase the [numerator/denominator] ratio; attenuate efficacy after [depletion]; vary across genetically defined models","比例增加不等于绝对增殖；Treg未被清除；小鼠无肿瘤长出不是临床治愈；保留未显著比较。","Fig4; ED6–10","single-paper-synthesis","nature-2026-09-19-stk11-language.md","174","2026-09-19"
"NAT-STK11-027","Nature","2024","39385035","Results","","immune composition and necessity","immune_phenotype;basic_experiments","sentence_frame","mouse_intervention+human_observational","[Intervention] altered [measured immune state]; depletion of [cell population] attenuated efficacy in [model], supporting a context-specific contribution.","比例增加不等于绝对增殖；Treg未被清除；小鼠无肿瘤长出不是临床治愈；保留未显著比较。","Fig4; ED6–10","single-paper-synthesis","nature-2026-09-19-stk11-language.md","175","2026-09-19"
"NAT-STK11-028","Nature","2024","39385035","Results","","immune composition and necessity","immune_phenotype;basic_experiments","paragraph_architecture","mouse_intervention+human_observational","Immune-state comparison → absolute/relative denominator → perturbation validation → efficacy change → cross-model qualification.","比例增加不等于绝对增殖；Treg未被清除；小鼠无肿瘤长出不是临床治愈；保留未显著比较。","Fig4; ED6–10","single-paper-synthesis","nature-2026-09-19-stk11-language.md","176","2026-09-19"
"NAT-STK11-029","Nature","2024","39385035","Discussion","","convergence and limitations","translational_research;biomarkers","vocabulary","evidence_integration","convergent evidence 相互印证证据; biological plausibility 生物学合理性; exploratory signal 探索性信号; context-specific requirement 背景特异依赖","不要宣称已证实所有STK11患者应加CTLA4；不得用动物显著性填补临床CI跨1。","pp6–8 integrated discussion","single-paper-synthesis","nature-2026-09-19-stk11-language.md","184","2026-09-19"
"NAT-STK11-030","Nature","2024","39385035","Discussion","","convergence and limitations","translational_research;biomarkers","collocation","evidence_integration","support rather than establish clinical prediction; separate population association from model necessity; require prospective confirmation","不要宣称已证实所有STK11患者应加CTLA4；不得用动物显著性填补临床CI跨1。","pp6–8 integrated discussion","single-paper-synthesis","nature-2026-09-19-stk11-language.md","185","2026-09-19"
"NAT-STK11-031","Nature","2024","39385035","Discussion","","convergence and limitations","translational_research;biomarkers","sentence_frame","evidence_integration","The convergence of [clinical observations] and [model interventions] supports [hypothesis], but does not eliminate uncertainty in [direct treatment comparison].","不要宣称已证实所有STK11患者应加CTLA4；不得用动物显著性填补临床CI跨1。","pp6–8 integrated discussion","single-paper-synthesis","nature-2026-09-19-stk11-language.md","186","2026-09-19"
"NAT-STK11-032","Nature","2024","39385035","Discussion","","convergence and limitations","translational_research;biomarkers","paragraph_architecture","evidence_integration","Principal clinical signal → experimentally tested mechanism → gene/model heterogeneity → source/selection limitations → prospective comparison.","不要宣称已证实所有STK11患者应加CTLA4；不得用动物显著性填补临床CI跨1。","pp6–8 integrated discussion","single-paper-synthesis","nature-2026-09-19-stk11-language.md","187","2026-09-19"
"NAT-STK11-033","Nature","2024","39385035","Conclusion","","closing hypothesis","immunotherapy;translation","vocabulary","bounded_translational_hypothesis","therapeutic rationale 治疗研究依据; prospective confirmation 前瞻性确认; genotype-informed strategy 基因型导向策略","无单独Conclusion标题；这里是写作框架，不是处方建议或已验证治疗预测规则。","p8 closing discussion","single-paper-synthesis","nature-2026-09-19-stk11-language.md","195","2026-09-19"
"NAT-STK11-034","Nature","2024","39385035","Conclusion","","closing hypothesis","immunotherapy;translation","collocation","bounded_translational_hypothesis","provide a rationale for testing [combination]; prioritize validation in [defined setting]; preserve regimen-specific uncertainty","无单独Conclusion标题；这里是写作框架，不是处方建议或已验证治疗预测规则。","p8 closing discussion","single-paper-synthesis","nature-2026-09-19-stk11-language.md","196","2026-09-19"
"NAT-STK11-035","Nature","2024","39385035","Conclusion","","closing hypothesis","immunotherapy;translation","sentence_frame","bounded_translational_hypothesis","These findings provide a rationale for testing [strategy] in [defined molecular context], while prospective evidence is needed to establish its clinical utility.","无单独Conclusion标题；这里是写作框架，不是处方建议或已验证治疗预测规则。","p8 closing discussion","single-paper-synthesis","nature-2026-09-19-stk11-language.md","197","2026-09-19"
"NAT-STK11-036","Nature","2024","39385035","Conclusion","","closing hypothesis","immunotherapy;translation","paragraph_architecture","bounded_translational_hypothesis","Bounded cross-level synthesis → defined population/regimen → next validation requirement.","无单独Conclusion标题；这里是写作框架，不是处方建议或已验证治疗预测规则。","p8 closing discussion","single-paper-synthesis","nature-2026-09-19-stk11-language.md","198","2026-09-19"

